Alcoholic Beverages_p,Animal Products_p,Animal fats_p,"Aquatic Products, Other_p",Cereals - Excluding Beer_p,Eggs_p,"Fish, Seafood_p",Fruits - Excluding Wine_p,Meat_p,Milk - Excluding Butter_p,Offals_p,Oilcrops_p,Pulses_p,Spices_p,Starchy Roots_p,Stimulants_p,Sugar Crops_p,Sugar & Sweeteners_p,Treenuts_p,Vegetal Products_p,Vegetable Oils_p,Vegetables_p,Miscellaneous_p,Country,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
1.1737,30.7412,0.3469,0.0,12.3208,1.4801,1.5611,0.5608,14.7375,11.9392,0.6765,0.3238,0.7227,0.0925,1.5842,0.5666,0.0,0.0173,0.2024,19.2588,0.0578,1.4801,0.1561,Czechia,28.5,2.5,9.612840612168721,0.15984509145203402,8.55532848077641,0.8976670399402759,10716000.0
0.3937,32.3912,0.4246,0.0,12.04,2.3133,3.7288,0.5485,12.5265,12.009,1.3889,0.3185,0.1902,0.1902,0.9731,0.9245,0.0,0.0044,0.4423,17.6088,0.0575,1.526,0.0,Denmark,21.3,2.5,3.4632183908046,0.0380168124892777,3.3073597529593397,0.117841825355979,5829000.0
0.0225,9.6191,0.0225,0.0,29.5547,0.2399,0.8097,0.3674,4.3035,3.4863,0.7647,0.2549,6.2828,0.2699,0.5248,0.1949,0.0,0.0,0.105,40.3809,0.0075,2.4142,0.3749,Djibouti,12.2,18.899999618530273,0.601315789473684,0.00637651821862348,0.592307692307692,0.00263157894736842,988000.0
0.038,27.2601,0.0634,0.0,11.2385,0.4245,5.4165,2.9142,12.2648,8.3434,0.7475,0.7095,1.7738,0.4371,3.2626,0.6018,0.0,0.0,0.0063,22.7431,0.0127,1.4634,0.2787,Dominica,28.2,6.199999809265137,0.168055555555556,0.0,0.152777777777778,0.0152777777777778,72000.0
0.4784,25.6914,0.0224,0.0,13.1111,2.0631,2.0182,3.5207,12.9167,7.1386,1.5324,0.7774,3.7823,0.0747,0.8073,0.4111,0.0,0.0,0.0374,24.3086,0.0,0.9643,0.3438,Dominican Republic,26.9,9.5,2.11569523809524,0.0266761904761905,1.57770476190476,0.511314285714286,10500000.0
0.0,22.7577,0.0988,0.0076,22.6665,1.6038,1.6494,1.1022,11.09,7.3579,0.9425,0.6385,0.8893,0.0532,0.8665,0.0532,0.0,0.0,0.0304,27.2423,0.0152,0.7753,0.1596,Ecuador,19.3,7.900000095367432,1.46830563645708,0.0856832847924162,1.19818399862943,0.184438353035235,17511000.0
0.0052,12.4994,0.0467,0.0,30.3504,0.5243,3.4934,1.0849,5.1077,2.0919,1.2302,0.5969,1.6818,0.2128,0.6696,0.2024,0.1298,0.0,0.0467,37.5032,0.0052,2.4916,0.026000000000000002,Egypt,31.1,4.5,0.16775889606460098,0.00952749422140214,0.131002053510312,0.0272293483328869,100803000.0
0.1203,17.3405,0.0468,0.0,20.588,1.5904,1.4701,0.7952,6.8961,7.0364,0.3074,1.3699,6.8426,0.0267,0.7551,0.294,0.0,0.0,0.0334,32.6495,0.0267,1.5035,0.3074,El Salvador,22.7,9.0,0.867721030705138,0.0258139176053078,0.778136090109551,0.0637710229902793,6481000.0
0.5907,28.6013,0.2233,0.0,15.0751,1.7071,1.735,0.5023,8.8097,15.424000000000001,0.7024,0.1861,0.8559,0.1674,1.3582,0.7535,0.0,0.0047,0.3582,21.401,0.0233,1.4745,0.0465,Estonia,23.8,2.9000000953674316,3.5696468820435796,0.0342599549211119,2.8285499624342596,0.7068369646882041,1331000.0
0.6034,14.767999999999999,0.0489,0.0,27.0081,0.4077,0.9296,0.7421,8.8396,3.4086,1.1253,1.3129,1.8511,0.4322,1.9979,0.1468,0.0,0.0,0.1794,35.2361,0.0,0.7747,0.1876,Eswatini,13.5,20.600000381469727,1.4656702898550702,0.0547101449275362,1.03885869565217,0.37210144927536204,1104000.0
0.1676,4.4561,0.0076,0.0,29.7303,0.099,0.1066,0.1143,1.6834,2.1938,0.3656,0.8074,10.748,0.7693,2.3461,0.3047,0.0,0.0,0.0838,45.5515,0.0,0.457,0.0076,Ethiopia,3.6,20.600000381469727,0.123092519753559,0.00186658080685022,0.109237181941592,0.0119887570051168,114916000.0
