Alcoholic Beverages_kcal,Animal Products_kcal,Animal fats_kcal,"Aquatic Products, Other_kcal",Cereals - Excluding Beer_kcal,Eggs_kcal,"Fish, Seafood_kcal",Fruits - Excluding Wine_kcal,Meat_kcal,Milk - Excluding Butter_kcal,Miscellaneous_kcal,Offals_kcal,Oilcrops_kcal,Pulses_kcal,Spices_kcal,Starchy Roots_kcal,Stimulants_kcal,Sugar Crops_kcal,Sugar & Sweeteners_kcal,Treenuts_kcal,Vegetal Products_kcal,Vegetable Oils_kcal,Vegetables_kcal,Country,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
0.4579,2.1612,0.0549,0.0,18.8278,0.1282,0.6409999999999999,2.5458,0.8791,0.2747,0.0183,0.1832,1.2088,0.3846,0.2564,15.5495,0.5311,0.0,1.63,0.8425,47.8388,4.9451,0.6409999999999999,Cote d'Ivoire,9.0,19.0,0.112958930276982,0.0006189111747851,0.10610506208213902,0.00623495702005731,26175000.0
2.7404,14.6911,2.4809,0.0,14.2695,0.5027,0.6,1.508,5.4484,5.3997,0.0,0.2594,0.7297,0.1135,0.0649,1.1351,1.2162,0.0,7.4753,0.2757,35.317,3.843,1.9296,Croatia,27.1,2.5,5.84890547263682,0.127960199004975,5.6487064676616905,0.0722388059701493,4020000.0
0.9825,7.6111,0.6159,0.0,19.607,0.4693,0.1466,3.2116,4.2968,1.9651,0.0293,0.1027,0.8506,2.5957,0.0147,3.4609,0.0587,0.0,7.5964,0.0,42.3962,2.713,1.2758,Cuba,26.7,2.5,0.28376030493750604,0.0020654197322932397,0.230821735661732,0.0508731495434802,11281000.0
1.6826,12.8681,0.7075,0.0,15.392000000000001,0.5927,0.8604,1.9312,5.9847,4.5698,0.631,0.1338,1.0134,0.5354,0.0765,0.9943,1.0325,0.0,4.4933,0.4015,37.1511,7.4379,1.5105,Cyprus,22.6,5.599999904632568,2.62170671085336,0.0174813587406794,0.170422535211268,2.43380281690141,1207000.0
4.8993,14.0415,3.8156,0.0,11.4011,0.5037,0.29,1.2821,5.0366,4.2735,0.1068,0.1068,0.2442,0.29,0.0763,1.7705,0.5037,0.0,6.1661,0.1984,35.9737,8.1197,0.9005,Czechia,28.5,2.5,9.612840612168721,0.15984509145203402,8.55532848077641,0.8976670399402759,10716000.0
2.4239,17.7505,5.0547,0.0,13.3757,0.9607,0.9459,1.5814,5.0103,5.439,0.0,0.3252,0.3104,0.1035,0.1921,1.6553,0.8868,0.0,7.1386,0.5025,32.2643,2.9116,1.1676,Denmark,21.3,2.5,3.4632183908046,0.0380168124892777,3.3073597529593397,0.117841825355979,5829000.0
0.1306,3.7127,0.2799,0.0,27.8918,0.0746,0.1493,0.7836,1.4925,1.5858,0.2799,0.1306,0.1119,2.3881,0.2052,0.5597,0.2052,0.0,6.1754,0.0933,46.2873,6.25,1.2127,Djibouti,12.2,18.899999618530273,0.601315789473684,0.00637651821862348,0.592307692307692,0.00263157894736842,988000.0
1.4266,10.9375,0.9341,0.0,11.3791,0.1529,1.036,5.8254,4.7724,3.9062,0.2548,0.1359,1.4266,0.7133,0.4755,5.9783,0.5944,0.0,6.9633,0.017,39.0625,2.9721,1.036,Dominica,28.2,6.199999809265137,0.168055555555556,0.0,0.152777777777778,0.0152777777777778,72000.0
1.589,8.6782,0.7508,0.0,13.3054,0.6286,0.2968,7.421,3.7716,2.9859,0.1921,0.2445,1.1524,1.5017,0.0524,1.3794,0.1746,0.0,5.412999999999999,0.0349,41.3305,8.521,0.5762,Dominican Republic,26.9,9.5,2.11569523809524,0.0266761904761905,1.57770476190476,0.511314285714286,10500000.0
0.9275,9.7391,1.4879,0.0,23.4396,0.5411,0.2512,2.5894,3.9227,3.4203,0.0966,0.1353,0.3671,0.3285,0.0386,1.0242,0.0773,0.0,3.6908,0.0386,40.2319,7.1884,0.4638,Ecuador,19.3,7.900000095367432,1.46830563645708,0.0856832847924162,1.19818399862943,0.184438353035235,17511000.0
